text,predicted_label
blm resmi jadi mantan ngasih trauma sangat besar pernah prinsip gamau punya pasang gamau nikah umur hidup mau nge jomblo being a single mom janda kembang wqwq,trauma masa lalu
papah tingal gamau nikah,tekanan sosial
bapak suruh nikah gamau terus,tekanan sosial
atas cepet nikah gih stres nafkahin gamau nikah pak mau dinafkahin atas,tekanan sosial
gamau ajar mau nikah gigi,tekanan sosial
gamau nikah ah takut bahagia takut punya pasang cuma nambah beban doang salah pilih pasang bunuh diri,tekanan sosial
yaudahlah emg ril karma kasih tau gamau ajak nikah bodoh ngejar yu sadar yu,tekanan sosial
blm resmi jadi mantan ngasih trauma sangat besar pernah prinsip gamau punya pasang gamau nikah umur hidup mau nge jomblo being a single mom janda kembang wqwq,trauma masa lalu
papah tingal gamau nikah,tekanan sosial
bilang besok kalo kamu nikah gamau bantuin yauda siapa mau ngundang orang banyak in this economy nikah jadi chil bray,tekanan sosial
iyap indo imbang orang pinternya berapa jangan takut ato ngamuk kalo bilang mau childfre remaja naif hamidun terus society despise orang gamau nikah ngangep hamidun tahtanya lebih mulia ketimbang childfre,tekanan sosial
gamau masuk langsung nikah,tekanan sosial
gimana kalo morven ni tipe gamau henti kerja nikah,tekanan sosial
yah orang emang rencana nikah pake duit ortunya gamau kordinasi buka soal bayar harga printilan nikah ambil kek kmu istilah bin bapak kamu gamau bapak tau kalo nyata harga barang mahal,tekanan sosial
gamau nikah muda mau main keluyur,tekanan sosial
gamau nikah,tekanan sosial
ih gamau nikah,tekanan sosial
sedih aku keliling rekan kerja umur sepantarangak jauh beda aku meni anak lalu kaget tanya aku gamau nikah aku gamau punya anak aku pandang aneh kalo bilang hidup rumah tanga rekan kerja,tidak percaya pasangan
gamau nyari cocok gtu nder ngobrol biasa misal kalo umur sekarang wajar siap nikah pilih calon turut butuh waktu lama kenal lebih dalem bibit bebet bobot,tekanan sosial
cewek kerja dijulidin nikah bilang perawan tua nikah kerja bilang beban kalo nikah tetap kerja bilang gamau ngurus anak,tekanan sosial
svt tour gyucheol unit coming up yay another reasons to say gamau nikah dulu soal banyak mau kejar,tekanan sosial
arti mau nikah cewek gamau bye sender blon,tekanan sosial
gamau nikah,tekanan sosial
tradisi tai istg kalau adik aku gamau nikah karna gamau ngelangkahin aku rumah aku acak,tekanan sosial
garagara lihat tmn aku mnkh aku jadi pgn pakai baju nikah bayangin jadi cantik mau pakai baju doang gamau nikah hehe,tekanan sosial
kalau jelang gamau nikah gembar gembor kep private drpd lamar gadinikahin kiw malu,tidak percaya pasangan
gamau nikah kalo pasang sore wiling to spend hundreds years only for us,tekanan sosial
betul jangan males ribet buru gamau sabar jadi petaka nikah bukan soal pasang kalau punya anak nyawa jadi tangungjawab tuhan,tekanan sosial
temen ken cepet nikah males kerja emang angur gamau cari kerja mau cepet dinikahin pacar hidup baik gantung lingkung keluarga pasang,tekanan sosial
bagus gamau emak bahagia nikah bapak,tekanan sosial
umur genap usah bahas nikah segala kamu tahun kak terus kenape kalo mau cari cewe muda gapapa kudu putus dulu soal gamau selingkuh kak im trying to ngajak kamu nikah diem dulu,tidak percaya pasangan
ibu janda tahun suruh nikah gamau,tekanan sosial
elu aje sangean kocak bokap cere taun kagak nikah krna gamau divorced since,tekanan sosial
fix gamau nikah ogah make,tekanan sosial
aku nonton cuplik nikah nang bistu gamau,tekanan sosial
perempuan gamau nikah ogah sanding kaum anjay patriark,tekanan sosial
ngomong ayah kamu gp ayah nikah biaya ful tangung ayah kalo gamau kata mending kamu pergi rumah nder cari kos jauh,tidak percaya pasangan
aku sempet tanya ayah gamau nikah ayah jawab kalo ayah mikirnya kalo nikah beban ayah tambah ayah cukup punya anak kek princes gamau nambah beban nah mungkin bokap mu ken nambah beban nder persetan urus kontol,tekanan sosial
alas sekarang mau ngirit gamau banyak jajan dulu mau diet badan pipi kaya babi guling ngumpulin duit tour justin kalo tour nikah,tidak percaya pasangan
ken punya anak kyak soyi gamau nikah mau anak kyk soyi dh jadi anak,tekanan sosial
aku kakak beda taun lumayan jauh and cowo mama kyk harap duluan nikah gweh kyk wow siap mau biarin kakak nikah duluan gamau ngelangkah gt anjay,tekanan sosial
jadi keinget dulu bilang kalo gamau nikah kalo ortu calon mertua blm lbh baik kyk maksud twetmu siap bkn calon pasutri masa calon pasutri ajar tingkat value kamu mjd pasutri ortu g siap jadi mertua,tidak percaya pasangan
nah aku join yah gamau nikah soal,tekanan sosial
sebenernya si klo liat restu cmn hary tipe pikir klo gamau nti restu ancam yaudah si orang nikah tuju ibu bapak kandung mayang gada,tekanan sosial
woe makanya kalo kondangan gamau dinamain ah gila kali dicatetin gin kalo nikah duluan kalo tingal duluan jadi ngutangin orang ngeri naro dosa orang,tekanan sosial
mewek dulu seh wilhaya sayang akhir nikah aku mewek aduh mixed feling sekali bahagia gamau babay aku kak sela gimana aku lewat senin mod not ur busines saking,tekanan sosial
perempuan skrg gamau nikah banyak nikah kali trauma lebi nyaman dildo,trauma masa lalu
cape sims gamau nikah terus,tekanan sosial
ayah haha ibu tingal tengah tahun aku kakak kompak ngelarang ujung ayah gamau buka jadi yaudahlah serah akhir nikah hidup mula,tekanan sosial
tuju bude janda dri tahun lalu kata banyak mau jodohin bude orangbukan dri pihak keluarga bude tep gamau nikah diancem anak mantu klo nikah mau deket krna takut bude apa bsa sendiri dinikahin ngurusin laki,tidak percaya pasangan
aku kira akhirakhir banyak takut nikah milih childfre didik anak mahalapa cuman buble twiter doang jadi inget masa pilpres,tekanan sosial
guys kalo dokter jgn takut tanya misal hubung nikah nyeri perut haid apa dok jangan cuma diem nungu dokter jelasin aku kalo mau dokter nyiapin list tanya tg sakit kait tanya bayar mahal sekali timba ilmu,tekanan sosial
halo kak beneran cerita kakakjujur ken psikolog takut mahal luar budget nyari rekomendasi psikolog nikah aku ngerasa kaya diri tuh bukan aku sering mendem nang ngerasa marahsedihkecewa aku gabisa,tidak percaya pasangan
nah aku mikir gin takut kalo nikah emang beneran pelit pernah nuntut bukan arti jadi efort gt lo bin mahal rb pamerin seluruh dunia,tidak percaya pasangan
banyak pasang muda sekarang pilih kumpul kebo ketimbang nikah bukan semata soal moral biaya nikah mahal takut gagal orangtuanya trauma sistem rasa adil bukan sekadar gaya hidupini cermin soal relasi percaya,tekanan sosial
jiwa maskulin suka ovt takut jadi beban gabisa bantu apa soal uang nikah dh mahal rmh tanga lbh banyak keluar,tekanan sosial
ovt takut beban gtu kalau gabisa bantu banyak nikah tu mahal,tekanan sosial
semangatin orang tua anak muda nikah takut punya anak posting butuh bayi mahal praktiksi kasih alam aku eh dibandingin orang borju terus kek gtu senjang akal ekonomi pernah selesai,alasan ekonomi
takut nikah haraga vendor mahal,tekanan sosial
aku jadi ingat pernah dimarahin teman karna ngomong aku takut hidup nikah kondisi sekarang soal ajar alam sendiri butuh anak banyak nuntut ilmu mahal takut punya keluarga bahagia habis nikah karna masalah finansial,tekanan sosial
orang banyak takut nikah salah satu faktor ekonomi banyak pikir hidup sendiri mahal hidup keluarga,alasan ekonomi
inded makanya skrg pikir nikah ngebiayain hidup sendiri rasa mahal keluarga ah takut bukany gapercaya rejeki realistis rejeki klo diusahain bong,alasan ekonomi
mau nikah punya anak jadi korban seksualitas laki sengklek alas utama mungkin biaya hidup mahal alas utama takut ketemu laki otak sange kalo anak jadi pedo bangsat tau ah,tekanan sosial
aku skrg pake balut yona organic gt so far pernah lecet cuma turut downsidenya mahal aku berani kak pake menscup aku nikah aku takut ribet bersih terus kalo proper sakit kalo kamu berani coba kak,tekanan sosial
pas aku daftar snmptn dulu jga nekat ketar tir takut ukt mahal karna aku team kaka nikah alhamdulilah lolos ukt jt,takut gagal membangun keluarga
bohong nder aku takut hamil ih banyak lho tmn ku nikah takut hamil saking punya bayi tuh mahal kalo bner mau kualitas bukan jaga badan sehat pokok klo subur turun bukan brarti susah punya anak gantung dri,trauma masa lalu
cewe ngomong gin jahat perempuan barang jual beli banyak alas perempuan milih nunda nikah cepat nikah value perempuan makin murah mahal takut nemu pasang pola pikir gin,tidak percaya pasangan
kalo aku murah nder aku tau finansial gimana kalo serah asa mahal gimana pas nikah takut beli skincare suami berat kalo sender ngerasa masalah,alasan ekonomi
ken ih nikah resepsi hachi gril wkwkwk usah takut kurang makan gausah dekor puluh juta makan kenyang tamu senang bekal mahal si,tekanan sosial
mikirin hidup biaya hidup makin mahal takut ortu baik anak dunia jahat makanya mau nikah lahir generasi dunia jahat,tekanan sosial
biaya hidup mahal banyak anak muda sulit beli rumah bayar sewa bahkan sekadar hidup layak akhir tunda nikah fokus karier dulu nikah takut punya anak banyak pilih childfre,tekanan sosial
kak no salty aku cewe aku mikir hidup wanita tuh kalo nikahberasa beli entah murah mahal mahar aku rasa emang beli dg umur hidup gatau jamin depan bagaimana plz takut meni,takut gagal membangun keluarga
eh keren ni solusi cocok hamil luar nikah gamau nikah mau aborsi mahal beli cytotec mahal takut hm tarik,tekanan sosial
astagfirulah wonwo islam eh bener kata ustadzku tau waktu tetep posthink jangan beli mahal permen dapet apa es cekek asiknya tonton eh jangan nikah dulu takut hujat knetz,tekanan sosial
kalo bahas nikah usia matang bilang jangan tua kalo nikah gausah takut susah nikah buka rezeki meanwhile kerja laki gajelas minjem duit sana sini anak urus makan anak asal biaya sekolah mahal bayang siapa jadi korban,tekanan sosial
iyain kak laki model punya wil emg gamau tangungjawab ngasuh anak kalo emg punya gangu takut anak kena skizo gausah anak awal gausah nikah sinting emang jangan lupa minta biaya awat anak mahal,tidak percaya pasangan
sumpah sea ni mahal jimy ngode keras bener takut lamar auto nikah dek,tidak percaya pasangan
takut gada dibabuin kaka kalau gada resin rumah sendiri gimana kalau pake prt mahal sangup bayar kalau nikahin istri gratis diurusin makanya takut kalau gamau nikah,tekanan sosial
asa ubah dikit cinta ma yah asa ubah samsek nipu ngedate murah mokondo ngedate mahal tabung niat nikah takut cerai niat nikah canda ama tau sakit masyarakat,takut gagal membangun keluarga
ortu kalo anak nikah lebih concern anak takut sendiri panti jompo mahal negara otak ngomongin sejahtera lansia jadi punya pasang privilege mungkin ortu positif pikir,tekanan sosial
yes mahal even during nikah last time my mom suruh i pakai but i chose not to tahu mahal i takut hahaha it was pas on generation to generation my family one is red gold,takut gagal membangun keluarga
pen kerja kuat drama kerja dgn gaji umr kerja luar negeri takut culik kamboja mo nikah trust isues cowo bot apa mahal bjir anomali apa aku inidah paling bener velocity ngopi,tekanan sosial
nikah gampang murah harap catat banyak orang indonesia sulit musti kasih mahar pesta mas kawin luar biasa mahal orang takut meni fakta lapang,tekanan sosial
mending pindah klo duitny cerita dikit pernah ngekos rb kota bekas lokasi deket tempat kerja lantai lt cuman lantai atas orang kyknya lampu lorong dapur km remang aku lebih takut kosan mahal jadi gas nikah,tidak percaya pasangan
alah aku baru tau dulu nikah keluarga nanyain suami yakin kowe mbojo wong patitakut minta serah mobilmotor paling mahal sapi beberapa ekor banyak berita edar,tekanan sosial
temen bentar mau nikah hampir mau ceplos gausah buru punya anak in this economy gajadi takut jadi kaya ngatur aduh punya anak emang mahal,tekanan sosial
beberapa jawab tanya putar kapan nikah kalo apapa mahal tanteom hehe jangan lupa nyengir rencana umur an tanom orang negara maju buruburu tanom takut buruburu cerai hehe nyengir,tekanan sosial
aku overthinking soal serah nikah takut julidin kalo mahalmurah,takut gagal membangun keluarga
kira peduli gitukan jelas aku ken nikmat hidup lama masa lajang bilang takut nikah bilang aku takut aku cuma banyak timbang jam apa mahal diri an takut,tidak percaya pasangan
cewe sini emang takut nikah biaya hidup mahal pd milih kerja keras pas tua tingal ambil caregiver jagain,tidak percaya pasangan
orang takut nikah bukan brarti normalisasin zina in this era economy serba mahal mikir orang dgn gaji pas depan mau gimana hukum nikah tuh wajib sunah makruh haram gantung kondisi orang ish emosi aku baca,tekanan sosial
emang laku zina orang takut meni buka mata sekarang gaji paspasan nikah tuh hidup sehariharinya darimana ngutang kalau mau punya anak susu bocil mahal ratus ribu,tidak percaya pasangan
iya ka banyak bahas klo asli cowo korsel tuh cuek patriark mertua suami byk galak nah drakor tuh dicontohin gmn sikap pemuda korsel byk takut nikah biaya rumah didik sana mahal,tekanan sosial
sebenernya tangkap bukan mau nikah nder lebih takut nikah orang salah skrg tuh serba mahal gaji umr sendiri pas aplg kalau ngekostngontrak gimana utk kalau punya anak,tekanan sosial
mahal buset takut nikah gmn ngatur duit,tekanan sosial
pil diane mahal rencana mau pake kb nikah nyata mama kena breast cancer karna pake pil kb jadi takut,tidak percaya pasangan
oala lbh parah ku kira biaya hidup mahal doang makanya pda takut nikahpunya anak,tekanan sosial
gatau kak aku bingung kerja tahun lari kemane pengem nyicil second cicil lumayan jadi mikir bom takut bayar karna kerja bom netap bom umur mau nyicil rumah tl mahal bom siap nikah arghjhdjejwismkw,tekanan sosial
ketawa dikit nenek pergi orang pinter bayar mahal ongkos ngobatin nikahnikah kata takut nempel bada,tekanan sosial
orang pusing mau nikah takut biaya mahal bs gausah pesta megahmegah penting sah mending duit dp rumah,takut gagal membangun keluarga
rek kalian saran mua ta aku mau nikah acara akad intimate sodara thok terus makanmakan keluarga jam an gt takut ketemu mua langsung hajar harga mahal akad,tekanan sosial
kebelet ngewek halaltp ekonimo mampu ujung anak jadi korban jaman dl klau jaman sekarang kua sepi mental anak jaman sekarang takut nikah apa mahal,tekanan sosial
mahal takut telat nikah punya selera mau punya cewe mahal bervalue makanya diri bervalue pelan lingkung saring jadi orang bervalue,tekanan sosial
bjir aku tuh gapapa nikah kua kek sedih takut remeh orang pola pikir jelek maksud ketemu cowok kek bayi kasih nikah kua akhir angap aku babu nikah mahal dikit terus ngungkitngungkit kiamat,tekanan sosial
suka mikir emang kaya cocok tingal sini orang unfriendly lahan kerja susah apa mahal takut nikah jadi apa mahal ngempanin anak orang,alasan ekonomi
ken nikah gaperlu mahal kaya gin imposible aku orang sunda kenal orangtua gengsi tingi kalau pesta takut jadi omong tetanga tcih,tekanan sosial
sumpah seru beneran niat rab timse schedule spreadshet eh kondangan bnrn kebaya siap kmrn baru jahit hihi btw mahal nikah anjritlah intimate aj gin fag takut dunia btw thanku ka ney sgt efort,tekanan sosial
engak tau keluarga sekarang mau beli barang mahal sekrang mikir takut engak dulu sembelum nikah gas engak mikir apa efek bapak,tidak percaya pasangan
aku tiap hari selalu ngehindarin jajan gt always rumah eh temen kerja bilang ih si sil jarang jajan duit modal nikah sil aku ketawa aku hindar takut sehat tuh mahal,tekanan sosial
jangan janda bang bom nikah ken kawin kontrak benefit tulis atas materai daftar notaris trauma takut jalanin long relationship sdngkan nikah janji tuh trust isue cerai mahal,trauma masa lalu
klo gamau nikah pacar mnding nikah sekali aman klo gamau nikah mahal diakalin nikah simpel ngundang byk orang ngumbar terus takut punya anak childfre,takut gagal membangun keluarga
benar mau asi sufor masalah jadi masalah jadin alesan harga susu mahal takut nikah arti siap nikah,tekanan sosial
usaha maksimalin rajin klinik umur gin sat jadi tangung ortu pas nikah gaperlu awat mahal intensif takut beban suami treatment muka ku mungkin lebih jauh pikir ku,tekanan sosial
jadi keinget tmen kuliah punya kakak cowok mau nikah daerah kalo keluarga cowok rumah cewek mau lamar ortunya ngajakin duduk kursi arti uang panai mahal wkt ortu s cewek jawa ngajakin duduk kursi kel temen degan takut minta banyak,takut gagal membangun keluarga
akad kua usah pesta rupiah paling siap beli mas kawin bensin wira wiri ama potokopi berkas syarat kua nikah gratis yamg mahal gengsinua jangan takut nikah,tekanan sosial
takut nyata nikah orang lihat baik eh gataunya redflag takut dapet mertua awikwok takut apapa mahal takut jadi orang tua baik inti lebih kasi anak lahir negara bobrok gin,tekanan sosial
benar takut nikah lebih takut penuh butuh anak sekarang serba mahal,tekanan sosial
makin mahal takut nikah ekonomi jadi masalah besar hubung gamau siap terlalu takut terlalu banyak mikir jelek terus banyak ajar lebih kenal diri sendiri cinta orang dgn,alasan ekonomi
nikah takut tekdung biaya anak mahal shay,tekanan sosial
aku ken pacar kadang mikir harga hodie lebih mahal gaji bulan takut gabisa nafkahin kalo nikah,tekanan sosial
alas pernah nanyain nikah ama pacar karna takut dimarahin harga belis ama harga kuda mahal,tekanan sosial
takut punya anak pas nikah langsung rencana punya anak kalo emang kasih atas gimana mental siap tambah biaya didik bagus mahal pol jadi mending tahan dulu aza,tidak percaya pasangan
vendor gedung catering mahal alam mingu temen kantor cerita mau nikah september tahun depan bok vendor paling murah sekarang takut habis tangal,tekanan sosial
akutuh tadi mau ngomong ngajak pacar beli cincin sekarang soal tahun depan pn naik takut harga emas makin mahal takut mau ngomong ah kesal mau nikah susah negara bajing,tekanan sosial
kuliah kata mahal lulus cepet kerja mau nyari koneksi senior kota takut kata boros rumah doang kata usaha anak tetanga mesti dibandingin nikah bahasa laku tahun lalu tetanga tingal selalu diomongin,trauma masa lalu
sumpah apa umur gin aku lebih takut punya kembang karir gaji kembang didik tbtb kena layof hasil tabung apa mahal beli tanah beli rumah bahagiain mama ilmu agama kurang takut nikah,takut gagal membangun keluarga
aku takut nikah banding nikah lebih krusial takut uang segala butuh mahal,tekanan sosial
lebih takut hidup nikah mati tambah biaya hidup sekarang makin gede mahal,tekanan sosial
waktu temen deket nikah tu sedih neng takut tingal mahal lebih sering ketemu pas punya anak tahun sekali jadi bulan keli mana jadi rumah,tidak percaya pasangan
ibu ngerasa masalah wajar klo anak takut arti anak siap ibu orang relate tau ibu mrk gimana jelas relate bilang ibu nikah satu lemari isi tas mahal,tekanan sosial
nikah gampang bom kalo punya anak harga susu formula popok mahal angka keras rumah tanga banyak angka telantar anak angka cerai siapa takut nikah kalo ancur begini pkb pantek kontol bajing,tekanan sosial
isue tingkat nikah turun lebih efek domino ekonomi lemah kek orang takut nikah biaya nikah mahal terus hantu wajib nafkah keluarga hinga siap uang didik anakanak,alasan ekonomi
kalau mau have sex nikah serah bersih rutin cek ngerugin siapa kalau punya duit gausah gegaya mau ngewe pacar cari duit dulu bnyak ngewe takut mikir cek mahal pegi cek sonoh nanya orang,tekanan sosial
iya laki liat ciwi bin ortu barang mahal terus takut ngerendahin bukan pacu sdm rendah kamu kalo nikah cabut sayap kamu rantai kaki kamu cepet putusin laki bahaya kek gin kak,tekanan sosial
takut hamil aku punya anak kasi laki aku nikah biaya mahal gada turun,takut gagal membangun keluarga
akhir hapus timbul banyak debat soalny awal aneh cewe takut nikah banyak cowo berengsek solusi jangan takut orang gamau punya anak biaya hidup mahal solusi perintah cuma jangan takut,tekanan sosial
gin duduk gin bom ngurus negara tuh dulu gausah ikut kek negara takut orang banyak ken childfre mau nikah senganya sejahtera rakyat indo gaji rendah sandang pangan makin mahal,tekanan sosial
banyak temen nikah sbrnya siap cuma ken sdh lama pacar takut kejar usia pas nikah bingung hamil bingung nikah mahal butuh sepi jadi korban temen jomblo dicurhatin mulu,tekanan sosial
bukan semata salah pihak cowok cewek gaes bayangin sekarang harga rumah mahal biaya sekolah ngotak tuntut sosial makin tingi perintah peduli ama kelas tengah heran makin banyak orang takut nikah,tekanan sosial
harga butuh serba mahal banyak cinta manis awal harga cuma god loking modal kerja keras prcuma gbakal harga prjuangan kek dlu kerja tipes nabung nikah eh djkecewain jadi takut jalin hubung isi bulshit smua,tidak percaya pasangan
mahal teknologi cangih sam bud akses orang paling gampang lewat nikah jelas bapak ibu beberapa daerah larang nikah tetanga takut klo nyata hasil lingo,tekanan sosial
gantung gaya hidup orang jujur bulan gaji jt tuh mau nikah takut mikir at least calon suami gaji kyk kalo gabung tuh jt mahal cok apa jkt,tekanan sosial
sma swasta takut biaya mahal ingat swasta rata duduk hidup miskin alhasil apa kerja klo mau kejar paket c nikah mudah populasi banyak nikah muda akibat bayi lahir prematur kurang nutrisi akibat,tekanan sosial
bukan semata salah pihak cowok cewek gaes bayangin sekarang harga rumah mahal biaya sekolah ngotak tuntut sosial makin tingi perintah peduli ama kelas tengah heran makin banyak orang takut nikah,tekanan sosial
harga butuh serba mahal banyak cinta manis awal harga cuma god loking modal kerja keras prcuma gbakal harga prjuangan kek dlu kerja tipes nabung nikah eh djkecewain jadi takut jalin hubung isi bulshit smua,tidak percaya pasangan
nikah sisi aku takut kalo nikah soal anak tuh raya aku kecil biasa dirayain ortuku apa ultahku gada pikir rayain mahal sini kecewa,tidak percaya pasangan
kalian takut nikah paham banyak kasus cerai kdrt serba mahal sekarang bahas nucha podcast curhatbabu episode siapa tau buka perspektif beda mariage is scary,tekanan sosial
inget perkara belanja abis banyak ngomel mahal eh bang toyib belanja pake duit sendiri kerja sendiri lo modal apa takut kalo ampe nikah ama lo nyinyirin mulu uang belanja,tidak percaya pasangan
emang takut nikah liat orang cere bukan takut nikah biaya hidup makin mahal,tekanan sosial
nikah emang rasa takut bahkan skrg utama utk punya anak uang sekolah sd kalo mau bagus mahal cuy wkwkw mana harga popok tuh mahal kualitas relatif jelek susu punya jadi bismilah usaha ngumpulin uang,tidak percaya pasangan
emosi sendiri cowo milih bangun rumah duluan nikah benar takut kalau tuh rumah jadi gonogini bangun meni tetep milik anjig kalau cap hitung kira nyari duit gampang apa,tidak percaya pasangan
